Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
377	900	1422	1	04/04/24 02:22:09 PM	
378	900	1357	1	04/04/24 02:22:10 PM	
379	900	1407	1	04/04/24 02:22:11 PM	
380	900	1416	1	04/04/24 02:22:12 PM	
381	900	1389	1	04/04/24 02:22:14 PM	
382	900	1422	1	04/04/24 02:22:15 PM	
383	900	1385	1	04/04/24 02:22:16 PM	
384	900	1395	1	04/04/24 02:22:17 PM	
385	900	1399	1	04/04/24 02:22:18 PM	
386	900	1349	1	04/04/24 02:22:19 PM	
387	900	1400	1	04/04/24 02:22:20 PM	
388	900	1375	1	04/04/24 02:22:22 PM	
389	900	1386	1	04/04/24 02:22:23 PM	
390	900	1377	1	04/04/24 02:22:24 PM	
391	900	1391	1	04/04/24 02:22:25 PM	
392	900	1382	1	04/04/24 02:22:26 PM	
393	900	1388	1	04/04/24 02:22:27 PM	
394	900	1362	1	04/04/24 02:22:29 PM	
395	900	1419	1	04/04/24 02:22:30 PM	
396	900	1367	1	04/04/24 02:22:31 PM	
397	900	1406	1	04/04/24 02:22:32 PM	
398	900	1413	1	04/04/24 02:22:33 PM	
399	900	1384	1	04/04/24 02:22:34 PM	
400	900	1431	1	04/04/24 02:22:35 PM	
401	900	1406	1	04/04/24 02:22:37 PM	
402	900	1413	1	04/04/24 02:22:38 PM	
403	900	1419	1	04/04/24 02:22:39 PM	
404	900	1382	1	04/04/24 02:22:40 PM	
405	900	1400	1	04/04/24 02:22:41 PM	
406	900	1366	1	04/04/24 02:22:42 PM	
407	900	1396	1	04/04/24 02:22:43 PM	
408	900	1382	1	04/04/24 02:22:45 PM	
409	900	1397	1	04/04/24 02:22:46 PM	
410	900	1370	1	04/04/24 02:22:47 PM	
411	900	1385	1	04/04/24 02:22:48 PM	
412	900	1418	1	04/04/24 02:22:49 PM	
413	900	1422	1	04/04/24 02:22:50 PM	
414	900	1379	1	04/04/24 02:22:51 PM	
415	900	1383	1	04/04/24 02:22:53 PM	
416	900	1387	1	04/04/24 02:22:54 PM	
417	900	1387	1	04/04/24 02:22:55 PM	
418	900	1392	1	04/04/24 02:22:56 PM	
419	900	1386	1	04/04/24 02:22:57 PM	
420	900	1407	1	04/04/24 02:22:58 PM	
421	900	1390	1	04/04/24 02:22:59 PM	
422	900	1396	1	04/04/24 02:23:01 PM	
423	900	1381	1	04/04/24 02:23:02 PM	
424	900	1383	1	04/04/24 02:23:03 PM	
425	900	1366	1	04/04/24 02:23:04 PM	
426	900	1352	1	04/04/24 02:23:05 PM	
427	900	1398	1	04/04/24 02:23:06 PM	
428	900	1395	1	04/04/24 02:23:07 PM	
429	900	1404	1	04/04/24 02:23:09 PM	
430	900	1388	1	04/04/24 02:23:10 PM	
431	900	1375	1	04/04/24 02:23:11 PM	
432	900	1377	1	04/04/24 02:23:12 PM	
433	900	1351	1	04/04/24 02:23:13 PM	
434	900	1389	1	04/04/24 02:23:14 PM	
435	900	1387	1	04/04/24 02:23:15 PM	
436	900	1389	1	04/04/24 02:23:17 PM	
437	900	1367	1	04/04/24 02:23:18 PM	
438	900	1386	1	04/04/24 02:23:19 PM	
439	900	1361	1	04/04/24 02:23:20 PM	
440	900	1369	1	04/04/24 02:23:21 PM	
441	900	1356	1	04/04/24 02:23:22 PM	
442	900	1407	1	04/04/24 02:23:23 PM	
443	900	1376	1	04/04/24 02:23:25 PM	
444	900	1397	1	04/04/24 02:23:26 PM	
445	900	1420	1	04/04/24 02:23:27 PM	
446	900	1388	1	04/04/24 02:23:28 PM	
447	900	1386	1	04/04/24 02:23:29 PM	
448	900	1398	1	04/04/24 02:23:30 PM	
449	900	1399	1	04/04/24 02:23:32 PM	
450	900	1382	1	04/04/24 02:23:33 PM	
451	900	1376	1	04/04/24 02:23:34 PM	
452	900	1379	1	04/04/24 02:23:35 PM	
453	900	1402	1	04/04/24 02:23:36 PM	
454	900	1415	1	04/04/24 02:23:37 PM	
455	900	1379	1	04/04/24 02:23:38 PM	
456	900	1372	1	04/04/24 02:23:40 PM	
457	900	1389	1	04/04/24 02:23:41 PM	
458	900	1411	1	04/04/24 02:23:42 PM	
459	900	1369	1	04/04/24 02:23:43 PM	
460	900	1379	1	04/04/24 02:23:44 PM	
461	900	1376	1	04/04/24 02:23:45 PM	
462	900	1398	1	04/04/24 02:23:46 PM	
463	900	1389	1	04/04/24 02:23:48 PM	
464	900	1400	1	04/04/24 02:23:49 PM	
465	900	1376	1	04/04/24 02:23:50 PM	
466	900	1418	1	04/04/24 02:23:51 PM	
467	900	1361	1	04/04/24 02:23:52 PM	
468	900	1394	1	04/04/24 02:23:53 PM	
469	900	1366	1	04/04/24 02:23:54 PM	
470	900	1406	1	04/04/24 02:23:56 PM	
471	900	1380	1	04/04/24 02:23:57 PM	
472	900	1386	1	04/04/24 02:23:58 PM	
473	900	1365	1	04/04/24 02:23:59 PM	
474	900	1431	1	04/04/24 02:24:00 PM	
475	900	1384	1	04/04/24 02:24:01 PM	
476	900	1412	1	04/04/24 02:24:03 PM	
477	900	1404	1	04/04/24 02:24:04 PM	
478	900	1362	1	04/04/24 02:24:05 PM	
479	900	1388	1	04/04/24 02:24:06 PM	
480	900	1421	1	04/04/24 02:24:07 PM	
481	900	1395	1	04/04/24 02:24:08 PM	
482	900	1399	1	04/04/24 02:24:09 PM	
